,a,ä,ɑ,ɒ,ɔ,õ,ũ,ʊ̃,ʊ̟,o,u,ɞ,ɵ,ɤ,ɤ̃,ɤ̞,ʌ,ʌ̃,e,e̝,ɛ,ə,ɘ,ɘ̝,i,ɪ,ɪ̞,ɨ,ɨ̞,y,ã,ʉ,u̯,b,t,t̪,s,s̪,ɕ,ʦ,ʨ,ʧ,ʣ,ʥ,ʤ,ʒ,ʑ,ʐ,ʂ,ʃ,d,d̪,p,k,q,ɡ,r,r̝,ʁ,ɾ,f,ɸ,v,β,m,n,n̪,ɲ,ɲ̟,l,ɫ,j,w,x,ɣ,ɦ,h,Ø,d͡,t̪͡,t͡,w̃,z,z̪,ʂ͡,ʨ͡,ʦ͡,ʐ͡,ʒ͡
ʌ,,,"0,5","0,6","0,1","0,6","0,5","0,45","0,45","0,6","0,15","0,55",,"0,5","0,55","0,55",,"0,05",,,"0,3","0,33",,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ʌ̃,,,"0,55","0,65","0,15","0,65","0,5","0,5","0,5","0,65","0,5","0,6",,"0,55","0,5","0,55","0,05",,,,"0,35",385,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,"0,35","0,35",,,,"0,45",,495,495,"0,45",,,"0,55","0,3","0,35","0,35",,,,"0,05","0,5","0,45","0,33",385,"0,5","0,15","0,2",,,"0,6",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e̝,"0,4","0,4",,,,"0,45",,495,495,"0,45",,,"0,6","0,35","0,35","0,35",,,"0,05",,"0,55","0,5",385,"0,33","0,5","0,15","0,2",,,"0,6",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɛ,"0,5","0,5",,,"0,3",,,,,,,"0,55",,,,,"0,3","0,35","0,5","0,55",,"0,33",,,"0,35",385,"0,44",,,"0,45",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ə,,,,,,,,,,,,"0,45","0,45","0,33",385,385,"0,33",385,"0,45","0,5","0,33",,"0,45","0,5",,,,"0,35","0,4",,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɘ,,,,,,"0,25",,"0,5","0,5","0,25",,"0,6","0,1","0,45","0,5","0,5",,,"0,33",385,,"0,45",,"0,05",,"0,33",385,"0,5","0,55",,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɘ̝,,,,,,"0,3",,"0,5","0,5","0,3",,"0,65","0,15","0,5","0,5","0,5",,,385,"0,33",,"0,5","0,05",,,"0,33",385,"0,5","0,55",,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,"0,35","0,35",,,,,"0,4",,,,"0,4",,,,,,,,"0,5","0,5","0,35",,,,,"0,1","0,15","0,45","0,5","0,1",0.4,0.55,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɪ,385,385,,,,385,"0,33",,,"0,33","0,33",385,"0,33","0,33",385,385,,,"0,15","0,15",385,,"0,33","0,33","0,1",,"0,05","0,15","0,15","0,2",0.44,0.25,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɪ̞,"0,44","0,44",,,,385,385,,,385,385,"0,44",385,385,385,385,,,"0,2","0,2","0,44",,385,385,"0,15","0,05",,"0,15","0,15","0,25",0.44,0.25,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɨ,,,,,,,"0,6",,,,"0,55","0,45","0,6",,,,,,,,,"0,35","0,5","0,5","0,45","0,15","0,15",,"0,05","0,25",,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɨ̞,,,,,,,"0,6",,,,"0,6","0,5","0,65",,,,,,,,,"0,4","0,55","0,55","0,5","0,15","0,15","0,05",,"0,3",,0.15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,"0,45","0,45",,,,,"0,35",,,,"0,3",,,,,,,,"0,6","0,6","0,45",,,,"0,1","0,2","0,25","0,25","0,3",,0.5,0.15,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ã,,0.05,0.35,0.45,,,,,,,,,,,,,,,0.4,0.4,0.55,,,,0.4,0.44,0.44,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ʉ,,,,,,,0.5,,,,0.45,0.35,0.5,,,,,,,,,0.45,0.6,0.6,0.55,0.25,0.25,0.1,0.15,0.15,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u̯,,,0.5,0.4,0.4,0.55,0.05,0.15,0.15,0.55,,,,0.65,0.65,0.65,0.15,0.5,,,,,,,0.45,0.385,0.385,0.6,0.6,0.35,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55",,,,,,,,,,,,,,,"0,3","0,35","0,2","0,5","0,5","0,3",,,,,,"0,5",,"0,3","0,3",,,,,,,,,,,,,,"0,35","0,55","0,55",,,,,,,,
t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,"0,05","0,3","0,35",,"0,3",,"0,5","0,5",,"0,7","0,5",,,,"0,3","0,2","0,25","0,5","0,3","0,3","0,3","0,55","0,55",,"0,5",,,,,,"0,3","0,35",,,"0,5","0,55",,,,,,,,"0,25","0,05","0,05",,"0,5","0,55",,,"0,35",,"0,55"
t̪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,05",,"0,35","0,3",,"0,35",,"0,55","0,55",,"0,75","0,55",,,,"0,35","0,25","0,2","0,55","0,35","0,35","0,35","0,55","0,55",,"0,55",,"0,55",,"0,35","0,35","0,35","0,3",,,"0,55","0,55",,,,,,,,"0,25","0,05","0,05",,"0,55","0,5",,,"0,35",,"0,55"
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35",,"0,05","0,3","0,3",,"0,5","0,5",,"0,7","0,4","0,5","0,5","0,3","0,2","0,3","0,35",,,,,"0,5","0,55","0,5","0,5","0,3","0,3","0,5","0,5",,"0,5","0,55",,,"0,5","0,55",,,"0,3","0,5","0,5","0,3",,"0,35","0,35","0,35",,"0,2","0,25","0,35",,"0,35","0,55","0,45"
s̪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,35","0,3","0,05",,"0,3","0,35",,"0,55","0,55",,"0,75","0,45","0,55","0,55","0,35","0,25","0,35","0,3",,,,,"0,55","0,55","0,55","0,55","0,35","0,35","0,55","0,55",,"0,55","0,5",,,"0,55","0,55",,,"0,35","0,55","0,55","0,35",,"0,35","0,35","0,35",,"0,25","0,2","0,35",,"0,35","0,55","0,45"
ɕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,3",,,"0,3",,,,,"0,5","0,2","0,5","0,3","0,3",,,,,,,,,"0,3",,"0,3","0,3","0,5","0,5",,,,"0,5","0,55",,,"0,5",,"0,3","0,5","0,5","0,3",,,,,,"0,5","0,55","0,35","0,35",,"0,55","0,55"
ʦ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,3","0,35",,,"0,3","0,3","0,5","0,5","0,5","0,7",,,,"0,5","0,5","0,55",,,,,"0,5","0,55",,"0,55",,,,,,,,,,,,,,,,,,,"0,55","0,35","0,35",,"0,5","0,55",,"0,35","0,05",,"0,75"
ʨ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,3",,"0,3","0,5","0,5","0,5",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,05","0,35",,
ʧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5","0,55",,"0,3","0,3",,"0,5","0,5","0,5","0,35",,,,"0,3","0,3","0,35",,,,,"0,3","0,35",,"0,35",,,,,,,,,,,,,,,,,,,"0,35","0,55","0,55",,"0,7","0,75",,"0,35","0,35",,"0,35"
ʣ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5","0,55",,"0,5","0,5","0,5",,"0,3","0,3","0,7",,,,"0,7","0,3","0,35",,,,,"0,3","0,35",,"0,35",,,,,,,,,,,,,,,,,,,"0,35","0,55","0,55",,"0,3","0,35",,"0,55","0,55",,"0,75"
ʥ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,5","0,5","0,3",,"0,3",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,55",,
ʤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7","0,75","0,7","0,75",,"0,5","0,5","0,5","0,3","0,3",,"0,3",,,,"0,5",,,,,,,,"0,55",,,,,,,,,,,,,,,,,,,,,,"0,75","0,75",,"0,5","0,55",,"0,55","0,55",,"0,35"
ʒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,4","0,45","0,5","0,7",,"0,35","0,7",,"0,3",,"0,3","0,3","0,5","0,2","0,5","0,55",,,,,"0,5",,"0,3",,"0,5","0,5","0,3","0,3",,,,,,"0,3","0,35",,,"0,5","0,3","0,3","0,5",,"0,55","0,55","0,55",,"0,3","0,35","0,55",,"0,75","0,35","0,05"
ʑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,2",,"0,5",,,"0,3",,"0,3",,"0,3","0,3","0,3","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,35",,,,"0,3","0,35","0,35","0,55",,"0,35","0,35"
ʐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5",,,,,,,"0,3","0,3",,"0,2","0,5",,,,,,,,,"0,3",,"0,5","0,5","0,3","0,3",,,,,,,,,,"0,5","0,3","0,3","0,5",,,,,,"0,3","0,35","0,25",,,"0,05","0,35"
ʂ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,3",,,,,,,"0,5","0,3","0,2",,"0,3",,,,,,,,,"0,5",,"0,3","0,3","0,5","0,5",,,,,,,,,,"0,3","0,5","0,5","0,3",,,,,,"0,5","0,55","0,05",,,"0,25","0,55"
ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,2","0,25","0,3","0,5",,"0,3","0,7",,"0,5","0,2","0,3","0,5","0,3",,"0,7","0,75",,,,,"0,7","0,75","0,3",,"0,3","0,3","0,5","0,5",,,,,,"0,7","0,75",,,"0,3","0,5","0,5","0,3",,"0,75","0,35","0,35",,N,ND,"0,35",,"0,55","0,55","0,25"
d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,2","0,25","0,3","0,35",,"0,5",,"0,3","0,3",,,"0,5","0,3",,,"0,7",,"0,05","0,5","0,5","0,5","0,3","0,3","0,35",,"0,3",,,,,,,,,,"0,3","0,35",,,,,,,,"0,05","0,25","0,25",,"0,5","0,55",,,"0,55",,"0,55"
d̪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,35","0,25","0,2","0,35","0,3",,"0,55",,"0,35","0,35",,,"0,55",,,,"0,75","0,05",,"0,55","0,55","0,55","0,35","0,35","0,35",,"0,35",,,,,,"0,3",,,,"0,35","0,35",,,,,,,,"0,05","0,25","0,25",,"0,55","0,5",,,"0,55",,"0,55"
p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2","0,5","0,55",,,,,,,,,,,,,,,"0,5","0,55",,"0,3","0,3","0,5",,,,,,"0,3",,"0,5","0,5",,,,,,,,,,,,,,"0,55","0,55","0,55",,,,,,,,
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,3","0,35",,,,,,,,,,,,,,,"0,5","0,55","0,3",,"0,3","0,2",,,,,,,,,,,,,,,,,,"0,3","0,5",,,,"0,55","0,35","0,35",,,,,,,,
q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,3","0,35",,,,,,,,,,,,,,,"0,5","0,55","0,3","0,3",,"0,5",,,"0,5",,,,,,,,,,,,,,,,,,,,"0,55","0,35","0,35",,,,,,,,
ɡ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,3","0,35",,,,,,,,,,,,,,,"0,3","0,35","0,5","0,2","0,5",,,,,,,,,,,,,,,,,,,"0,5","0,3",,,,"0,35","0,35","0,35",,,,,,,,
r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,55","0,5","0,55",,"0,5",,"0,3","0,3",,,"0,5",,,,"0,7","0,3","0,35",,,,,,"0,05",,"0,7",,,,,,"0,3",,,,"0,3","0,35",,,,,,,,"0,35","0,55","0,55",,"0,3","0,35",,,"0,55",,"0,55"
r̝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,55","0,55","0,55",,"0,55",,"0,35","0,35",,,"0,55",,,,"0,75","0,35","0,35",,,,,"0,05",,,"0,75",,,,,,"0,35",,,,"0,35","0,35",,,,,,,,"0,35","0,55","0,55",,"0,35","0,35",,,"0,55",,"0,55"
ʁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,3",,,,,,,"0,3",,"0,3","0,5","0,3",,,,,"0,5",,,,,,"0,5","0,5","0,3","0,3",,,,,,,,,,"0,5","0,3","0,3","0,5",,,,,,"0,3","0,35","0,55",,,"0,35","0,35"
ɾ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5","0,55",,"0,55",,"0,35","0,35",,,,,,,,"0,3","0,35",,,,,"0,7","0,75",,,,,,,,"0,3",,,,"0,3","0,35",,,,,,,,"0,35","0,55","0,55",,"0,3","0,35",,,"0,55",,
f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,3",,,,,,,"0,5",,"0,5","0,3","0,3",,,,,,,,,"0,5",,,"0,3","0,2","0,5",,,,,,,,,,"0,3","0,5","0,5","0,3",,,,,,"0,5","0,55","0,35",,,"0,55","0,55"
ɸ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,"0,55","0,3","0,35","0,3",,,,,,,"0,5",,"0,5","0,3","0,3",,,"0,3",,,,,,"0,5",,"0,3",,"0,5","0,2","0,5",,,,,,,,,"0,5","0,3","0,3","0,5",,,"0,55","0,55",,"0,5","0,55","0,35",,,"0,55","0,55"
v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5",,,,,,,"0,3",,"0,3","0,5","0,5",,,,,,,,,"0,3",,"0,2","0,5",,"0,3",,,,,,,,,,"0,5","0,3","0,3","0,5",,,,,,"0,3","0,35","0,55",,,"0,35","0,35"
β,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,"0,35","0,5","0,55","0,5",,,,,,,"0,3",,"0,3","0,5","0,5",,,"0,5",,,,,,"0,3",,"0,5","0,2","0,3",,"0,3",,,,,,,,,"0,5","0,3","0,3","0,5",,,"0,35","0,35",,"0,3","0,35","0,55",,,"0,35","0,35"
m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,"0,35",,,,,,,,,,,,,,,,,"0,5",,,,,,,,,"0,5",,"0,3",,"0,3",,"0,3","0,35",,,,,,,,,,,"0,35","0,35",,,,,,,,
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,5","0,55",,,,,,,,,,,,,,"0,3",,,,,"0,3","0,35",,"0,3",,,,,"0,3",,"0,05","0,3","0,35","0,3","0,35",,,,,,,,,"0,35","0,35",,"0,3","0,35",,,,,
n̪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,35","0,3","0,55","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,05",,"0,35","0,35","0,35","0,35",,,,,,,,,"0,35","0,35",,"0,35","0,3",,,,,
ɲ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,3","0,35",,,,,"0,3",,,,,,,,,,,,,,,,,
ɲ̟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55",,,,,,,,,,,,,,,,,,,,,,,,,,"0,35","0,35","0,35",,,,,,,,,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5","0,55",,,,,,,,"0,3",,,,"0,7","0,3","0,35",,,,,"0,3","0,35",,"0,3",,,,,,"0,3","0,35",,,,"0,05",,,,,,,,"0,35","0,55","0,55",,"0,3","0,35",,,,,"0,35"
ɫ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,55","0,55","0,55",,,,,,,,"0,35",,,,"0,75","0,35","0,35",,,,,"0,35","0,35",,"0,35",,,,,,"0,35","0,35",,,"0,05",,,,,,,,,"0,35","0,55","0,55",,"0,35","0,35",,,,,"0,35"
j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,,,,,,,,,,,,,
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,05",,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,3",,,,,,,"0,5",,"0,5","0,3","0,3",,,,"0,3",,"0,5",,,"0,5",,"0,3","0,5","0,5","0,5",,,,,,,,,,,"0,2","0,5","0,3",,,,,,"0,5","0,55","0,35",,,"0,55","0,55"
ɣ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5",,,,,,,"0,3",,"0,3","0,5","0,5",,,,"0,5",,"0,3",,,"0,3",,"0,5","0,3","0,3","0,3",,,,,,,,,,"0,2",,"0,3","0,5",,,,,,"0,3","0,35","0,55",,,"0,35","0,35"
ɦ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,5",,,,,,,"0,3",,"0,3","0,5","0,5",,,,,,,,,"0,3",,"0,5","0,3","0,3","0,3",,,,,,,,,,"0,5","0,3",,"0,2",,,,,,"0,3","0,35","0,55",,,"0,35","0,35"
h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3","0,35","0,3",,,,,,,"0,5",,"0,5","0,3","0,3",,,,,,,,,"0,5",,"0,3","0,5","0,5","0,5",,,,,,,,,,"0,3","0,5","0,2",,,,,,,"0,5","0,55","0,35",,,"0,55","0,55"
Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d͡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,35","0,25","0,25","0,35","0,35",,"0,55",,"0,35","0,35",,,"0,55","0,35",,,"0,75","0,05","0,05","0,55","0,55","0,55","0,35","0,35","0,35",,"0,35",,,,,,,,,,"0,35","0,35",,,,,,,,,"0,25","0,2",,"0,55","0,55","0,55","0,55","0,5",,"0,55"
t̪͡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,05","0,05","0,35","0,35",,"0,35",,"0,55","0,55",,"0,75","0,55",,,,"0,35","0,25","0,25","0,55","0,35","0,35","0,35","0,55","0,55",,"0,55",,"0,55",,"0,35","0,35","0,35","0,35",,,"0,55","0,55",,,,,,,,"0,25",,"0,05",,"0,55","0,55",,,"0,35",,"0,55"
t͡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,55","0,05","0,05","0,35","0,35",,"0,35",,"0,55","0,55",,"0,75","0,55",,,,"0,35","0,25","0,25","0,55","0,35","0,35","0,35","0,55","0,55",,"0,55",,"0,55",,"0,35","0,35","0,35","0,35",,,"0,55","0,55",,,,,,,,"0,2","0,05",,,"0,55","0,55",,,"0,3",,"0,5"
w̃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,05",,,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,55","0,2","0,25","0,5","0,5",,"0,7","0,3",,"0,5","0,3","0,3","0,3","0,5",N,"0,5","0,55",,,,,"0,3","0,35","0,3","0,3","0,5","0,5","0,3","0,3",,"0,3","0,35",,,"0,3","0,35",,,"0,5","0,3","0,3","0,5",,"0,55","0,55","0,55",,,"0,05","0,55",,"0,55","0,3","0,3"
